NAME,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SEDINtons,SEDOUTtons,SEDCONCmg/L,ORGNINkg,ORGNOUTkg,ORGPINkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT_Nkg,TOT_Pkg,NO3ConcMg/l,WTMPdegc
REACH,2,0,4,28.3,0.00119,0.000382,0.00081,0.0,4.16e-08,0.0,0.0,4.65e-05,1.11e-05,0.00014,2.83e-05,0.818,0.262,0.0,0.0331,0.0,0.00181,4.66e-05,0.000128,9e-14,0.0,0.0,0.0,33.2,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.000156,0.0,0.0
REACH,8,0,4,109.0,0.0701,0.0466,0.00414,0.0,1680.0,1180.0,329.0,1470.0,931.0,473.0,274.0,32.6,21.0,0.0,98.6,0.0,0.00137,2.3,4.77,60.0,0.0,111000.0,30000.0,95.6,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,278.0,0.0,0.0
REACH,11,0,4,173.0,0.0314,0.0291,0.000695,0.0,710.0,2.96,1.4,588.0,544.0,203.0,186.0,12.5,11.4,22.5,28.5,0.0166,0.00982,2.92,6.98,9.51,2.32,33000.0,27200.0,24.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,193.0,0.0,0.0
REACH,15,0,4,58.8,0.00434,0.00131,0.00166,0.0,65.2,32.0,313.0,38.5,12.8,14.5,3.65,0.607,0.0305,0.0,3.76,0.0,0.0,0.0591,0.0745,1.53,0.0,3580.0,158.0,28.2,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,3.72,0.0,0.0
REACH,28,0,4,90.7,0.0175,0.00554,0.00333,0.0,245.0,95.9,223.0,144.0,41.2,47.5,10.4,0.762,0.0376,0.0,12.1,0.0,0.0,0.206,0.224,5.75,0.0,18500.0,708.0,52.3,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4,10.6,0.0,0.0
REACH,33,0,4,126.0,0.0405,0.0351,0.00115,0.0,901.0,3.99,1.47,408.0,348.0,136.0,113.0,3.68,3.04,16.7,26.0,0.0,0.065,1.2,3.18,7.47,0.0,41000.0,26800.0,26.8,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,116.0,0.0,0.0
REACH,38,0,4,50.6,0.0138,0.00988,0.00224,0.0,410.0,349.0,456.0,181.0,146.0,67.0,52.1,3.4,2.37,0.0,0.00491,0.0,0.0,0.162,0.408,7.31,0.0,19900.0,10900.0,49.6,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,52.5,0.0,0.0
REACH,39,0,4,29.1,0.0171,0.0123,0.00126,0.0,388.0,298.0,321.0,323.0,228.0,115.0,75.8,9.92,7.18,0.0,18.8,0.0,0.0113,0.591,1.34,13.3,0.0,20600.0,7410.0,39.5,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,77.2,0.0,0.0
REACH,43,0,4,19.5,0.0223,0.0219,0.00016,0.0,985.0,973.0,594.0,547.0,539.0,197.0,193.0,12.7,12.5,0.0,1.72,0.0,0.000305,0.665,1.68,22.3,19.7,44800.0,42900.0,26.9,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,195.0,0.0,0.0
REACH,2,0,5,28.3,0.0009,0.00015,0.00075,0.0,4.3e-08,0.0,0.0,4.81e-05,5.81e-06,0.000144,1.49e-05,0.678,0.112,0.0,0.013,0.0,0.000749,4.82e-05,5.61e-05,1.64e-13,0.0,0.0,0.0,24.3,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,7.09e-05,0.0,0.0
REACH,8,0,5,109.0,0.128,0.139,0.00825,0.0,703.0,474.0,218.0,2520.0,2420.0,857.0,732.0,56.5,71.8,0.0,318.0,0.0,27.8,4.63,100.0,101.0,0.0,0.0,5800.0,3900.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,832.0,0.0,0.0
REACH,11,0,5,173.0,0.0501,0.0508,0.000918,0.0,1.46,2.99,4.93,814.0,817.0,264.0,263.0,23.2,24.6,93.4,103.0,8.47,10.7,31.1,37.5,0.243,0.044,2320.0,3490.0,732.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,301.0,0.0,0.0
REACH,15,0,5,58.8,0.00608,0.00344,0.00396,0.0,22.4,11.0,111.0,65.0,32.8,24.4,10.0,0.549,0.357,0.0,8.35,0.0,1.16,0.0996,0.865,2.43,0.0,0.0,21.7,151.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,10.9,0.0,0.0
REACH,28,0,5,90.7,0.0211,0.0181,0.0113,0.0,52.2,20.3,50.4,173.0,116.0,60.5,30.5,0.615,1.66,0.0,36.9,0.0,6.99,0.284,6.73,6.75,0.0,0.0,123.0,530.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,37.2,0.0,0.0
REACH,33,0,5,126.0,0.0285,0.0299,0.00276,0.0,2.78,2.17,2.93,258.0,268.0,79.2,81.1,2.1,2.82,29.0,37.8,1.84,4.06,3.4,9.25,1.81,0.0,2080.0,3840.0,171.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,90.3,0.0,0.0
REACH,38,0,5,50.6,0.00668,0.00615,0.00219,0.0,4.35e-08,1.4e-09,3.4e-06,79.7,87.8,29.5,30.5,1.76,1.53,0.0,0.00274,0.0,4.84e-05,0.0713,0.635,3.1,0.0,0.0,1080.0,171.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,31.2,0.0,0.0
